prompt,seq,score
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Hackers Exploit Microsoft's JPEG Flaw (AP) AP - In a harbinger of security threats to come, hackers have exploited a newly announced flaw in Microsoft Corp. programs and begun circulating malicious code hidden in images that use the popular JPEG format.The main topic of the news article is: Hackers exploiting a flaw in Microsoft's JPEG format.Category: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Arsenal gets back to winning ways Arsenal won for the first time in five games Saturday, getting two goals from Thierry Henry to beat Birmingham 3-0 in the Premier League.The main topic of the news article is: Arsenal's win in the Premier LeagueCategory: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Temporary Flight Caps Are Just That  quot;We #39;ve worked hard to balance the need to provide vibrant air service and grow the economy with the need to clear the skies over O #39;Hare, quot; said Mineta.  quot;The process worked, yielding substantial reductions that will produce results for the ...The main topic of the news article is: Temporary Flight Caps at O'Hare Airport.I choose: Business.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Inflation remains well contained: US Fed US Federal Reserve said Wednesday that rate hikes can continue at a  quot;measured pace quot; as  quot;inflation and longer-term inflation expectations remain well contained quot;.The main topic of the news article is: The US Federal Reserve's assessment of inflation and its decision on interest rate hikes.Category: Business,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Nvidia To Power Next-Gen Sony Console Nvidia Corp. and Sony Computer Entertainment Inc. (SCEI) said Tuesday that the two companies are working together to deveop a graphics subsystem for Sony #39;s next-generation video-game console.The main topic of the news article is: Nvidia partnering with Sony to develop a graphics subsystem for their next-gen console.Category: Tech,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Stocks Are Set to Open Lower NEW YORK - U.S. stocks are seen lower at the open Thursday as traders get a handle on Federal Reserve Chairman Alan Greenspan's testimony Wednesday...The main topic of the news article is: Stock market performance in response to Federal Reserve Chairman's testimony.Category: Business,0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Intel delays delivery of chip for projection TVs - report BEIJING (AFX-ASIA) - Intel Corp said it is delaying the delivery of its first chip for projection television sets, while rival Advanced Micro Devices Inc is moving on schedule to an advanced manufacturing process, the Wall Street Journal reported. The main topic of the news article is: Intel delaying delivery of chip for projection TVs.Category: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Teams seeking end to Ryder hostilities BLOOMFIELD TOWNSHIP, Mich. - Hal Sutton has pretty much told the Europeans to  quot;get over it. quot;. The US Ryder Cup captain is tired of hearing about the ugly American celebration that took place five years ago The main topic of the news article is the Ryder Cup and the controversy surrounding the US team's celebration.I choose: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Philly clinches NFC East title EAGLES 27, GIANTS 6: The Eagles, in the playoffs for the fifth consecutive year, are the third team since 1978 to win its division in Game 11.The main topic of the news article is: The Philadelphia Eagles winning their division title.And I choose: **Sports**.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Jeanne Lashes Dominican Republic; 9 Dead SAN PEDRO DE MACORIS, Dominican Republic - Tropical Storm Jeanne battered the Dominican Republic before heading to the Bahamas where the tempest, which has killed at least nine people, began to churn seas and stir deadly storm surges on Saturday.    Jeanne lost strength as it drove thousands of Dominicans from their homes by late Friday...The main topic of the news article is: Tropical Storm Jeanne causing damage and loss of life in the Dominican Republic.Category: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",U.S. Stocks Climb as Oil Prices Drop  NEW YORK (Reuters) - The biggest one-day drop in oil prices  since September 2001 helped send U.S. stock prices higher on  Wednesday.The main topic of the news article is: The impact of oil price drop on U.S. stock prices.Category: Business,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",France moves US plutonium south France sends plutonium from scrapped US nuclear warheads south under heavy guard to be reprocessed.The main topic of the news article is: France reprocessing US nuclear warheads plutonium.Category: World,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Americans can advance to regional finals with victory Into the regional finals of qualifying for the 2006 World Cup, that is. The Americans lead their group with eight points off two wins and two ties.The main topic of the news article is the American team's progress in qualifying for the 2006 World Cup.I choose: Sports",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Israelis, American Win Nobel for Chemistry (AP) AP - Two Israelis and an American won the Nobel Prize in chemistry Wednesday for showing how cells can give a """"kiss of death"""" to destroy unwanted proteins, a finding that could help scientists find new medicines for cancer and other diseases. The award marks the first time an Israeli has won a Nobel science prize.The main topic of the news article is: Nobel Prize in Chemistry awarded to Israelis and American for research on cellular protein destruction.Category: Science (but since it's not an option, I'll choose the closest one) -> None of the above options (World, Sports, Tech, Business) fit perfectly, but if I had to choose, I'd say: World (as it's a global news story about a prestigious international award)",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Hamilton to  quot;hoot and holler quot; his Ryder Cup compatriots Instead of weighing in to Ryder Cup battle next week, British Open champion Todd Hamilton plans to play a few rounds of golf with his buddies.The main topic of the news article is Todd Hamilton's plans related to the Ryder Cup.This article falls under the category of: **Sports**",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Va. Tech speeds up Mac OS X supercomputer by almost 20 OCTOBER 26, 2004 (MACCENTRAL) - Virginia Tech #39;s all-Mac OS X supercomputer at the university #39;s Terascale Computing Facility made headlines last year when it was determined to be the third-fastest supercomputer in the world.The main topic of the news article is: Virginia Tech's Mac OS X supercomputer speed increase.Category: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",A young monk opens a rare window of candor in Tibet He confirms Chinese are diluting traditional Buddhist culture and the monks' role.The main topic of the news article is: A young monk speaks out about the influence of Chinese culture on traditional Tibetan Buddhism.Category: World,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","A Classic Series Awaits At approximately 12:05 yesterday morning, history was made in perhaps the most remarkable way imaginable. Amid the shouts of euphoria from transplanted Bostonians in rainy Collegetown, one singular theme could The main topic of the news article appears to be a significant event or achievement related to the city of Boston, likely in the context of sports.I would categorize this article as: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Ljubicic advances MADRID, Oct. 22. - Ivan Ljubicic edged No. 7 seed Joachim Johansson in three tough sets on Friday to reach the semi-finals in the \$3 m Madrid Masters.The main topic of the news article is: Tennis player Ivan Ljubicic advances to semi-finals in Madrid Masters.Category: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Sun refreshes development tools line Refreshing its development tools arsenal, Sun Microsystems on Tuesday revealed plans for upcoming versions of Java Studio Creator and is unleashing upgrades to the NetBeans open source platform and Java Studio Enterprise.The main topic of the news article is: Upgrades to Sun Microsystems' development toolsCategory: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Scottish landslides trap up more than 50 people (AFP) AFP - More than 50 people were airlifted to safety after landslides caused by violent rain trapped cars on a road in Scotland, just days after flash floods devastated a tourist village in southwest England.The main topic of the news article is: Landslides and flooding in Scotland and England.I would categorize this article under: World.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Europe's Regulators Say It's OK If Oracle Acquires PeopleSoft (Investor's Business Daily) Investor's Business Daily - Oracle   Chief Executive Larry Ellison might well raise his offer of  #36;21 per share to buy business software rival PeopleSoft  , they say.The main topic of the news article is: Oracle's potential acquisition of PeopleSoft. Category: Business.",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Mariners fire Melvin after two seasons NOTES He indicated to reporters Sunday that he still wanted to manage the Mariners, but Melvin might get another chance elsewhere. Bavasi said he called an undisclosed club to suggest Melvin be considered for a managerial vacancy.The main topic of the news article is: The Seattle Mariners firing their manager, Bob Melvin.Category: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Marine Wives Rally A group of Marine wives are running for the family of a Marine Corps officer who was killed in Iraq.The main topic of the news article is a charity run organized by Marine wives in support of a fallen officer's family.I would categorize this article under: World,0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Bentley hoping to avoid getting tripped up by Post A year ago, the Bentley Falcons ended C.W. Post's two-year reign as Northeast-10 Conference football champions. Now the Pioneers have a chance to return the favor. Sitting atop the conference standings, C.W. Post (4-1, 4-0) hosts Bentley tomorrow and can inflict serious damage on any hopes the Falcons have of repeating.The main topic of the news article is: an upcoming college football game between Bentley and C.W. Post.Category: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Satellite TV Spreads Its Signals Across the Landscape In the last 10 years, pizza-sized dishes have sprouted on homes all over the country. But how does satellite TV actually work?The main topic of the news article is: How satellite TV worksCategory: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Weathermen to get Visualization Supercomputer Maverick combines highly sophisticated visualization technology with a high-bandwidth next generation network to tackle some of the nation #39;s most pressing concerns, including Emergency Response Management and Flood Modeling (specifically for the state of The main topic of the news article is: Introduction of a new supercomputer for weather forecasting and emergency response management.I choose: **Tech**",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Cellphone That Detects Bad Breath Siemens Mobile, the German telecommunications company, has announced that it is working on a mobile phone that makes users aware when they have bad breath.The main topic of the news article is a new mobile phone feature that detects bad breath.I would categorize this article under: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Dolby, Intel sound off for developers Companies plan tools for improving high-end audio for PCs with Intel inside.The main topic of the news article is: Dolby and Intel's collaboration to improve audio for PCs.Category: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Christian Conservatives Press Issues in Statehouses Energized by electoral wins, conservative Christians are pushing ahead state and local initiatives on controversial issues.The main topic of the news article is: Conservative Christians pushing state and local initiatives on controversial issues.Category: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Yukos to stop oil exports to China Russian oil giant Yukos has decided to halt two-thirds of its oil exports to China, raising the stakes in its yearlong legal battle with the authorities.The main topic of the news article is: Yukos stopping oil exports to China due to a legal battle.I would categorize this article as: Business.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Big Lots Revises Quarterly, Year Views Big Lots Inc., the largest closeout retailer in the United States, said Wednesday that total sales for the five weeks ended Oct. 2 rose 2.9 percent to \$357.The main topic of the news article is: Big Lots' sales and revenue update.Category: Business.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Icelanders after French salmon (TheDeal.com) TheDeal.com - SIF hf. plans to buy Labeyrie Group for an enterprise value of  #36;425 million.The main topic of the news article is: Acquisition of Labeyrie Group by SIF hf.Category: Business,0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Japan presses Pyongyang on six-party nuclear talks Japan urged North Korea on yesterday to return to six-way talks on the North #39;s nuclear weapons program in a third day of meetings focusing on the fate of missing Japanese citizens kidnapped by Northern spies, Japanese officials said.The main topic of the news article is: Japan and North Korea's nuclear talks and missing Japanese citizens. Category: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Novell launches desktop Linux for enterprises Novell Inc. will begin shipping on Tuesday a desktop version of its open source Linux operating system aimed squarely at enterprise users.The main topic of the news article is: Novell's new desktop Linux operating system for enterprises.Category: Tech,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Alcoa, BHP to sell Integris Metals SAN FRANCISCO (CBS.MW) -- Alcoa Inc. and Australia #39;s BHP Billiton have agreed to sell Integris Metals to Ryerson Tull for \$410 million in cash, plus assumption of \$250 million in debt, the companies said late Tuesday.The main topic of the news article is: Alcoa and BHP selling Integris Metals to Ryerson Tull.Category: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Google Stock Offering Remains on Track (AP) AP - Google Inc.'s stock market debut appeared to be on track for later this week after the Internet search company asked regulators to give final approval of the paperwork required for the sale.The main topic of the news article is: Google's initial public offering (IPO) and its progress.Category: Business,0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","YUKOS Surrenders to the Allies Yesterday morning YUKOS filed an application in a bankruptcy court in Houston, Texas for restructuring according to American laws.The main topic of the news article is: Bankruptcy filing of YUKOS oil companyCategory: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Ogden's Knee Improves; His Status Is Uncertain The Ravens are waiting to see how the knee of tackle Jonathan Ogden improves, and continue to hope that he will play in the season opener.The main topic of the news article is: Jonathan Ogden's injury status Category: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Networks in a Duel of Technology Some television networks are racing to develop eye-catching score boxes. Fox, for example, now has fire coming out of its baseball scores.The main topic of the news article is: Television networks competing to develop advanced score boxes.Category: Sports",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Germany #39;s Volkswagen workers stage warning strikes Workers at Germany #39;s automobile giant Volkswagen (VW) have staged warning strikes in the on-going wage dispute with the management.The main topic of the news article is: Volkswagen workers' strike in Germany due to a wage dispute.Category: Business,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Calhoun not fond of loss But Calhoun likes his players and his university and the fact that the Huskies are the defending national champions a lot more. Calhoun was livid with himself and the collective The main topic of the news article is: Reaction of Coach Calhoun to a lossCategory: Sports,1
