model_name,dataset,prompt,score,n_samples
vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ,agnews,"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",0.84,200
vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ,agnews,"Determine the the topic of the item and then choose from World, Sports, Business and Tech.",0.84,200
vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ,agnews,"Your task is to classify the news item as ""World"", ""Sports"", ""Tech"" or ""Business"".",0.86,200
vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ,agnews,"Based on the main theme of given the news article, categorize it into World, Sports, Business, or Tech.",0.88,200
vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ,agnews,"Determine the theme of the news item. Choose from World, Sports, Business and Tech.",0.855,200
vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ,agnews,"Your objective is to classify a news article into one of four themes: World, Sports, Business and Tech.",0.78,200
vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ,agnews,"Your task is to identify the primary topic of the news artical and choose from World, Sports, Business and Tech.",0.785,200
vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ,agnews,"Your job is to determine whether a news article belongs to the World, Sports, Business, or Tech category based on its primary theme.",0.88,200
vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ,agnews,"You will be given a news article and asked to classify it as World, Sports, Business and Tech, depending on its main topic.",0.84,200
vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ,agnews,"Your responsibility is to assign a news article to one of four categories: World, Sports, Business, or Tech, based on its main idea.",0.77,200
vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ,agnews,"Categorize the news article into one of four categories: World, Sports, Business, or Tech, based on its content.",0.805,200
vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ,agnews,"Choose a word from World, Sports, Business and Tech to categorize the given text.",0.88,200
vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ,agnews,"You will be required to classify a news article as World, Sports, Business, or Tech based on its primary topic.",0.88,200
vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ,agnews,"In this task, you are given a news article. Your task is to classify the article to one out of the four topics ""World"", ""Sports"", ""Business"", ""Tech"" if the article""s main topic is relevant to the world, sports, business, and technology, correspondingly. If you are not sure about the topic, choose the closest option.",0.88,200
vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ,agnews,"Classify the topic of the following news as ""World"", ""Sports"", ""Tech"" or ""Business"".",0.87,200
vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ,subj,"Please perform Subjectivity Classification task. Given the sentence, assign a label from ['subjective', 'objective']. Return label only without any other text.",0.47,200
vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ,subj,"Your task is to classify the comment ""subjective"" or ""objective"".",0.52,200
vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ,subj,"Given a sentence, classify it as either subjective or objective category.",0.555,200
vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ,subj,"Determine the category of a movie review based on a given text, subjective or objective.",0.52,200
vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ,subj,"Given a statement, classify it as expressing a subjective or objective opinion.",0.64,200
vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ,subj,evaluate each sentence as either objective or subjective.,0.625,200
vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ,subj,identify whether the given sentence was expressing an objective or a subjective opinion.,0.685,200
vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ,subj,evaluate each statement as either subjective or objective.,0.565,200
vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ,subj,"classify each sentence as either ""objective"" or ""subjective"".",0.565,200
vllm-shuyuej/Llama-3.3-70B-Instruct-GPTQ,subj,evaluate the given sentences and determine whether they are subjective or objective.,0.625,200
meta-llama/Llama-3.3-70B-Instruct,agnews,"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",0.855,200
meta-llama/Llama-3.3-70B-Instruct,agnews,"Determine the the topic of the item and then choose from World, Sports, Business and Tech.",0.8,200
meta-llama/Llama-3.3-70B-Instruct,agnews,"Your task is to classify the news item as ""World"", ""Sports"", ""Tech"" or ""Business"".",0.86,200
meta-llama/Llama-3.3-70B-Instruct,agnews,"Based on the main theme of given the news article, categorize it into World, Sports, Business, or Tech.",0.825,200
meta-llama/Llama-3.3-70B-Instruct,agnews,"Determine the theme of the news item. Choose from World, Sports, Business and Tech.",0.825,200
meta-llama/Llama-3.3-70B-Instruct,agnews,"Your objective is to classify a news article into one of four themes: World, Sports, Business and Tech.",0.595,200
meta-llama/Llama-3.3-70B-Instruct,agnews,"Your task is to identify the primary topic of the news artical and choose from World, Sports, Business and Tech.",0.66,200
meta-llama/Llama-3.3-70B-Instruct,agnews,"Your job is to determine whether a news article belongs to the World, Sports, Business, or Tech category based on its primary theme.",0.85,200
meta-llama/Llama-3.3-70B-Instruct,agnews,"You will be given a news article and asked to classify it as World, Sports, Business and Tech, depending on its main topic.",0.855,200
meta-llama/Llama-3.3-70B-Instruct,agnews,"Your responsibility is to assign a news article to one of four categories: World, Sports, Business, or Tech, based on its main idea.",0.67,200
meta-llama/Llama-3.3-70B-Instruct,agnews,"Categorize the news article into one of four categories: World, Sports, Business, or Tech, based on its content.",0.655,200
meta-llama/Llama-3.3-70B-Instruct,agnews,"Choose a word from World, Sports, Business and Tech to categorize the given text.",0.735,200
meta-llama/Llama-3.3-70B-Instruct,agnews,"You will be required to classify a news article as World, Sports, Business, or Tech based on its primary topic.",0.845,200
meta-llama/Llama-3.3-70B-Instruct,agnews,"In this task, you are given a news article. Your task is to classify the article to one out of the four topics ""World"", ""Sports"", ""Business"", ""Tech"" if the article""s main topic is relevant to the world, sports, business, and technology, correspondingly. If you are not sure about the topic, choose the closest option.",0.875,200
