prompt,seq,score
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Hackers Exploit Microsoft's JPEG Flaw (AP) AP - In a harbinger of security threats to come, hackers have exploited a newly announced flaw in Microsoft Corp. programs and begun circulating malicious code hidden in images that use the popular JPEG format.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Hackers exploiting a security flaw in Microsoft's JPEG format.Category: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Arsenal gets back to winning ways Arsenal won for the first time in five games Saturday, getting two goals from Thierry Henry to beat Birmingham 3-0 in the Premier League.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Arsenal's win in the Premier League.Category: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Temporary Flight Caps Are Just That  quot;We #39;ve worked hard to balance the need to provide vibrant air service and grow the economy with the need to clear the skies over O #39;Hare, quot; said Mineta.  quot;The process worked, yielding substantial reductions that will produce results for the ...<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Air Traffic Control and Flight Regulations.I choose: Business.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Inflation remains well contained: US Fed US Federal Reserve said Wednesday that rate hikes can continue at a  quot;measured pace quot; as  quot;inflation and longer-term inflation expectations remain well contained quot;.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: The US Federal Reserve's assessment of inflation and interest rate hikes.Category: Business.,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Nvidia To Power Next-Gen Sony Console Nvidia Corp. and Sony Computer Entertainment Inc. (SCEI) said Tuesday that the two companies are working together to deveop a graphics subsystem for Sony #39;s next-generation video-game console.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Nvidia partnering with Sony to develop a graphics subsystem for their next-generation video-game console.Category: Tech,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Stocks Are Set to Open Lower NEW YORK - U.S. stocks are seen lower at the open Thursday as traders get a handle on Federal Reserve Chairman Alan Greenspan's testimony Wednesday...<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Stock market reaction to Federal Reserve Chairman's testimony.I choose: Business.,0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Intel delays delivery of chip for projection TVs - report BEIJING (AFX-ASIA) - Intel Corp said it is delaying the delivery of its first chip for projection television sets, while rival Advanced Micro Devices Inc is moving on schedule to an advanced manufacturing process, the Wall Street Journal reported. <|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Intel's delay in delivering a chip for projection TVs.Category: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Teams seeking end to Ryder hostilities BLOOMFIELD TOWNSHIP, Mich. - Hal Sutton has pretty much told the Europeans to  quot;get over it. quot;. The US Ryder Cup captain is tired of hearing about the ugly American celebration that took place five years ago <|start_header_id|>assistant<|end_header_id|>The main topic of the news article is the Ryder Cup and the controversy surrounding the US team's celebration.I choose: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Philly clinches NFC East title EAGLES 27, GIANTS 6: The Eagles, in the playoffs for the fifth consecutive year, are the third team since 1978 to win its division in Game 11.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: The Philadelphia Eagles winning the NFC East title.Category: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Jeanne Lashes Dominican Republic; 9 Dead SAN PEDRO DE MACORIS, Dominican Republic - Tropical Storm Jeanne battered the Dominican Republic before heading to the Bahamas where the tempest, which has killed at least nine people, began to churn seas and stir deadly storm surges on Saturday.    Jeanne lost strength as it drove thousands of Dominicans from their homes by late Friday...<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Tropical Storm Jeanne and its impact on the Dominican Republic and the Bahamas.Category: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",U.S. Stocks Climb as Oil Prices Drop  NEW YORK (Reuters) - The biggest one-day drop in oil prices  since September 2001 helped send U.S. stock prices higher on  Wednesday.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Stock market reaction to oil price drop.Category: Business.,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",France moves US plutonium south France sends plutonium from scrapped US nuclear warheads south under heavy guard to be reprocessed.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: France reprocessing US plutonium from scrapped nuclear warheads.Category: World.,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Americans can advance to regional finals with victory Into the regional finals of qualifying for the 2006 World Cup, that is. The Americans lead their group with eight points off two wins and two ties.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is the American soccer team's progress in the qualifying rounds for the 2006 World Cup.I choose: Sports.",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Israelis, American Win Nobel for Chemistry (AP) AP - Two Israelis and an American won the Nobel Prize in chemistry Wednesday for showing how cells can give a """"kiss of death"""" to destroy unwanted proteins, a finding that could help scientists find new medicines for cancer and other diseases. The award marks the first time an Israeli has won a Nobel science prize.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Nobel Prize in Chemistry awarded to Israelis and American for research on cellular protein destruction.Category: Science (but since it's not an option, I'll choose the closest one) - None of the above options directly match, but if I had to choose, I'd say it's closest to ""World"" news, as it's a global award and not specifically related to Sports, Tech, or Business.",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Hamilton to  quot;hoot and holler quot; his Ryder Cup compatriots Instead of weighing in to Ryder Cup battle next week, British Open champion Todd Hamilton plans to play a few rounds of golf with his buddies.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Todd Hamilton's plans for the Ryder Cup.Category: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Va. Tech speeds up Mac OS X supercomputer by almost 20 OCTOBER 26, 2004 (MACCENTRAL) - Virginia Tech #39;s all-Mac OS X supercomputer at the university #39;s Terascale Computing Facility made headlines last year when it was determined to be the third-fastest supercomputer in the world.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Virginia Tech's supercomputer upgrade.I would categorize this article under: Tech.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",A young monk opens a rare window of candor in Tibet He confirms Chinese are diluting traditional Buddhist culture and the monks' role.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: A young monk's comments on the influence of Chinese culture on traditional Tibetan Buddhism.Category: World.,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","A Classic Series Awaits At approximately 12:05 yesterday morning, history was made in perhaps the most remarkable way imaginable. Amid the shouts of euphoria from transplanted Bostonians in rainy Collegetown, one singular theme could <|start_header_id|>assistant<|end_header_id|>The main topic of the news article appears to be a significant event related to a sports team, likely the Boston team, making history.I choose: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Ljubicic advances MADRID, Oct. 22. - Ivan Ljubicic edged No. 7 seed Joachim Johansson in three tough sets on Friday to reach the semi-finals in the \$3 m Madrid Masters.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is a tennis match update.I choose: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Sun refreshes development tools line Refreshing its development tools arsenal, Sun Microsystems on Tuesday revealed plans for upcoming versions of Java Studio Creator and is unleashing upgrades to the NetBeans open source platform and Java Studio Enterprise.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Sun Microsystems' updates to its development tools, including Java Studio Creator and NetBeans.Category: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Scottish landslides trap up more than 50 people (AFP) AFP - More than 50 people were airlifted to safety after landslides caused by violent rain trapped cars on a road in Scotland, just days after flash floods devastated a tourist village in southwest England.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Landslides in Scotland trapping people due to heavy rain.I would categorize this article under: World.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Europe's Regulators Say It's OK If Oracle Acquires PeopleSoft (Investor's Business Daily) Investor's Business Daily - Oracle   Chief Executive Larry Ellison might well raise his offer of  #36;21 per share to buy business software rival PeopleSoft  , they say.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Oracle's potential acquisition of PeopleSoft.Category: Business.",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Mariners fire Melvin after two seasons NOTES He indicated to reporters Sunday that he still wanted to manage the Mariners, but Melvin might get another chance elsewhere. Bavasi said he called an undisclosed club to suggest Melvin be considered for a managerial vacancy.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: The Seattle Mariners firing their manager, Melvin.I choose: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Marine Wives Rally A group of Marine wives are running for the family of a Marine Corps officer who was killed in Iraq.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: A group of Marine wives running to support the family of a fallen Marine Corps officer.I would categorize this article under: World.,0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Bentley hoping to avoid getting tripped up by Post A year ago, the Bentley Falcons ended C.W. Post's two-year reign as Northeast-10 Conference football champions. Now the Pioneers have a chance to return the favor. Sitting atop the conference standings, C.W. Post (4-1, 4-0) hosts Bentley tomorrow and can inflict serious damage on any hopes the Falcons have of repeating.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is a football game between Bentley and C.W. Post.I choose: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Satellite TV Spreads Its Signals Across the Landscape In the last 10 years, pizza-sized dishes have sprouted on homes all over the country. But how does satellite TV actually work?<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: How satellite TV works and its increasing presence in homes.Category: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Weathermen to get Visualization Supercomputer Maverick combines highly sophisticated visualization technology with a high-bandwidth next generation network to tackle some of the nation #39;s most pressing concerns, including Emergency Response Management and Flood Modeling (specifically for the state of <|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Weather forecasting and supercomputing for emergency response management.I choose: Tech.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Cellphone That Detects Bad Breath Siemens Mobile, the German telecommunications company, has announced that it is working on a mobile phone that makes users aware when they have bad breath.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: A mobile phone that detects bad breath.I would categorize this article under: Tech.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Dolby, Intel sound off for developers Companies plan tools for improving high-end audio for PCs with Intel inside.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Improving high-end audio for PCs through a collaboration between Dolby and Intel.Category: Tech",1
